query_id,answer
438,1901 4396 1909 1899 4354 4308 4388 2248 4387 4234
439,4440 2895 2968 2171 2220 2663 2279 4015 4356 4008
440,4214 4395 4219 3026 4424 2646 4389 4350 4396 4205
441,4219 4389 4440 4322 4313 4010 4308 4331 2646 4234
442,4395 4214 4235 3026 4424 4301 4222 4198 2105 4219
443,2865 3689 4308 4219 1958 3088 4400 1966 3055 2521
444,4451 2698 4209 4227 4290 4214 4220 3995 4447 4445
445,3088 4286 1923 4234 4328 4308 1901 4009 1899 4367
446,4423 4220 4364 4232 4327 4346 4403 4310 4012 4414
447,1958 4387 4234 4219 4504 4308 2646 4400 3088 3689
448,4400 4407 4219 2865 4387 2646 2831 4308 4403 1966
449,1958 4408 4234 4400 4387 3088 4504 4308 4331 4361
450,4384 4366 4219 2521 4331 2195 3781 2831 4547 4328
451,4320 4308 4045 1951 4050 2244 4319 4214 4153 2698
452,4219 2646 3127 2962 4408 4234 4308 4384 4389 4361
453,4313 4440 4384 4389 2220 4531 4218 4303 4310 4525
454,4445 4209 4451 3995 4205 2247 2249 4396 2203 4111
455,1951 4234 4362 4361 4308 4045 4286 3467 2698 3088
456,4361 4516 2521 4218 3088 4303 4379 4354 4440 2866
457,1951 4308 4234 1899 4328 4286 4408 1901 3088 2698
458,4320 2918 4354 4319 4220 4321 2919 4318 4243 2232
459,4364 4423 4372 4220 2909 2917 2908 2914 4047 4321
460,4219 4361 2865 2646 1966 4234 4408 4308 1958 4400
461,4214 4395 4424 3026 4219 4350 4235 4389 4301 4308
462,4234 4433 4167 4408 4316 2196 4346 4414 2222 4363
463,4361 2865 4219 4257 4406 2866 4384 4440 3169 3470
464,4401 2721 2602 4328 4386 2041 2696 4458 4332 2295
465,4387 4308 4234 4358 2408 4407 4403 1909 4408 4361
466,4372 3859 4351 2906 2223 2904 4329 2939 4375 2903
467,4234 4308 1951 4387 2698 4045 4400 3088 4286 4362
468,4008 3777 4243 4445 4307 3536 4366 3781 3595 4287
469,4008 3595 2171 4375 3777 3536 2663 2217 4307 2221
470,2865 4361 4440 4400 4532 4308 4408 2831 4219 4424
471,3580 4276 4204 2095 4310 4381 4304 4379 4180 2097
472,3993 4266 2895 3580 4354 4321 3777 4224 4436 4361
473,4440 4313 4222 3470 4350 3078 4379 1966 2220 4389
474,4320 4308 1951 2698 4214 4321 4234 4289 4045 4460
475,4440 4389 2696 2968 4371 4332 4266 4384 4257 4313
476,2220 4440 2279 4395 4373 4389 2171 3128 4207 4313
477,4440 2220 2968 2663 2661 2171 4008 1879 2279 2863
478,1966 1958 4219 2646 4384 2865 4387 4234 4257 2049
479,4328 4234 4362 1918 1909 3088 4286 1910 4153 4460
480,2696 3470 4313 3078 2865 4219 4400 1966 4408 2866
481,2895 3128 4287 4008 4015 3595 4357 4356 4435 4236
482,1901 1918 1899 4362 3088 4532 1923 4387 4396 2802
483,3436 4396 2831 4431 1907 3148 4433 3888 3265 2920
484,4407 2865 3078 4387 1966 2646 4531 1958 4400 4440
485,1966 4400 4387 4408 2831 2865 4308 4234 4361 1958
486,4111 4308 4396 4234 3088 4366 1901 4133 1960 4328
487,1909 4362 4308 4234 4396 4400 4328 1923 1918 4009
488,3467 1951 4532 4320 3861 4214 4050 4234 4133 4153
489,4308 4214 2698 4219 4366 2665 4243 4451 4209 4234
490,4219 4308 4389 4440 4384 2943 2646 4234 4400 4313
491,4395 2681 4198 4350 4222 4424 4214 4547 4440 3026
492,4387 2646 4219 1966 1958 4384 4408 4400 4234 4504
493,4266 3993 4203 4269 4287 4316 2895 2905 4315 4321
494,4214 2698 4308 4290 4227 4366 1951 4243 4234 4451
495,4364 4423 3786 2668 3661 2693 4220 4347 4232 4371
496,2646 4361 4331 4308 4219 2943 3088 4234 1966 4396
497,4395 4214 2944 4424 3843 4235 2521 4301 4219 3026
498,4361 2865 4400 4308 4219 2943 4408 3149 4440 2831
499,2698 2217 4433 4204 3995 4008 4451 4045 2172 4354
500,4362 4045 4435 4234 4356 4301 2717 4227 4436 4262
